id,masculine,see_as_masculine,society_pressure_is_bad,first_move,try_pay_date,state,white,age_range,kids,straight
379,NA,4,Yes,Yes,4,Minnesota,yes,4,yes,yes
380,3,4,Yes,Yes,4,Arizona,yes,4,no,yes
381,4,3,Yes,No,1,Texas,yes,3,no,yes
382,5,4,No,No,5,New Jersey,yes,3,no,yes
383,5,3,No,Yes,3,Minnesota,yes,4,no,yes
384,4,4,Yes,No,4,New Jersey,yes,4,no,yes
385,4,4,No,No,5,Florida,yes,4,no,yes
386,5,5,Yes,Yes,5,Illinois,yes,3,no,yes
387,5,3,Yes,No,5,Washington,yes,4,no,yes
388,4,2,Yes,Yes,4,California,yes,3,yes,NA
389,5,3,No,Yes,3,California,yes,2,no,yes
390,5,3,Yes,Yes,3,Massachusetts,yes,3,yes,no
391,5,3,No,No,5,Texas,no,3,no,yes
392,3,3,No,No,5,Florida,yes,3,no,yes
393,5,5,Yes,No,NA,Texas,yes,4,no,yes
394,4,4,Yes,No,3,Oregon,yes,2,no,yes
395,3,4,Yes,No,1,Utah,no,2,yes,yes
396,4,4,No,Yes,4,Colorado,yes,3,no,yes
397,4,4,Yes,Yes,4,Tennessee,yes,3,no,yes
398,4,4,No,No,3,North Carolina,yes,4,no,yes
399,4,5,No,No,5,Missouri,yes,3,no,yes
400,4,2,No,No,5,Florida,no,3,no,yes
401,4,3,Yes,No,5,Arizona,yes,4,no,yes
402,4,3,No,Yes,5,Pennsylvania,yes,4,no,yes
403,5,4,No,No,4,California,yes,4,no,yes
404,4,3,No,Yes,4,Nebraska,yes,4,no,yes
405,4,4,Yes,Yes,5,Iowa,yes,3,no,yes
406,5,3,No,Yes,5,California,no,2,no,yes
407,4,3,No,Yes,4,Virginia,yes,2,yes,yes
408,5,4,No,No,4,Minnesota,yes,4,no,yes
409,4,4,No,No,1,Kansas,yes,3,no,yes
410,4,3,Yes,Yes,4,Michigan,yes,4,no,yes
411,5,4,Yes,No,5,Florida,yes,4,no,yes
412,4,4,Yes,Yes,5,California,yes,4,no,yes
413,5,2,Yes,No,5,California,yes,4,no,yes
414,4,5,Yes,Yes,4,Florida,yes,3,no,yes
415,4,3,Yes,Yes,5,Idaho,yes,3,no,yes
416,5,2,Yes,No,5,New Mexico,yes,3,no,yes
417,5,2,No,No,5,California,yes,4,no,yes
418,4,3,Yes,Yes,5,Oklahoma,yes,3,no,no
419,5,2,Yes,No,5,Texas,no,4,no,yes
420,5,5,Yes,Yes,5,Pennsylvania,yes,3,no,yes
421,4,3,Yes,Yes,5,Pennsylvania,yes,4,no,yes
422,4,3,Yes,Yes,5,Florida,yes,4,no,yes
423,4,4,No,Yes,5,Virginia,no,3,yes,yes
424,4,4,Yes,Yes,3,Illinois,yes,3,no,yes
425,3,2,Yes,NA,NA,New York,yes,4,no,yes
426,4,4,Yes,Yes,4,New Jersey,yes,4,no,yes
427,3,3,Yes,No,2,California,yes,4,no,yes
428,4,5,No,Yes,5,California,yes,4,yes,yes
429,5,3,Yes,Yes,5,Washington,no,3,no,yes
430,4,4,No,No,3,Georgia,no,3,no,yes
431,5,3,Yes,Yes,5,Texas,yes,3,yes,yes
432,4,3,Yes,No,NA,Oregon,yes,4,yes,yes
433,5,5,No,Yes,5,Illinois,yes,4,no,yes
434,4,4,No,Yes,5,North Carolina,yes,2,yes,no
435,4,4,Yes,Yes,4,Washington,no,4,no,yes
436,4,4,No,No,4,California,no,4,no,yes
437,5,3,No,No,5,Hawaii,yes,2,yes,yes
438,4,4,Yes,Yes,5,West Virginia,yes,3,no,yes
439,4,4,No,NA,NA,Virginia,yes,4,no,yes
440,4,3,Yes,No,3,California,yes,4,yes,no
441,5,4,Yes,Yes,4,Massachusetts,yes,3,no,yes
442,5,4,Yes,Yes,4,Pennsylvania,yes,3,no,yes
443,5,3,Yes,No,3,Virginia,yes,3,yes,yes
444,4,4,Yes,No,1,Pennsylvania,no,3,no,no
445,5,3,Yes,Yes,5,California,yes,4,no,yes
446,4,4,Yes,Yes,4,Ohio,yes,3,no,yes
447,5,3,Yes,Yes,4,California,yes,4,no,NA
448,5,4,Yes,Yes,5,Georgia,yes,4,no,yes
449,4,4,No,Yes,5,Hawaii,yes,3,yes,yes
450,4,4,No,No,5,Michigan,yes,3,no,yes
451,4,4,Yes,No,2,Michigan,no,3,yes,yes
452,4,3,Yes,Yes,4,Oregon,yes,3,yes,no
453,4,2,Yes,Yes,5,Wyoming,yes,4,no,yes
454,4,4,Yes,Yes,4,New Hampshire,yes,4,no,yes
455,3,3,Yes,No,3,South Carolina,yes,3,no,yes
456,4,4,Yes,Yes,5,Florida,yes,4,no,yes
457,4,2,Yes,No,3,Oklahoma,yes,3,yes,no
458,5,5,Yes,Yes,5,Wisconsin,yes,4,no,yes
459,4,5,No,Yes,5,Washington,no,2,yes,yes
460,4,3,No,Yes,5,Massachusetts,yes,3,no,yes
461,4,4,No,Yes,5,Wisconsin,yes,3,no,yes
462,4,2,Yes,No,4,Illinois,yes,4,no,yes
463,4,4,No,Yes,4,Wisconsin,yes,3,no,yes
464,4,4,Yes,No,4,Illinois,yes,3,yes,no
465,4,5,Yes,Yes,4,Kentucky,yes,3,no,yes
466,4,5,No,Yes,5,Pennsylvania,yes,3,yes,yes
467,5,3,No,No,4,Pennsylvania,yes,3,no,yes
468,5,3,Yes,No,5,Massachusetts,yes,4,no,yes
469,4,3,No,Yes,4,Texas,no,3,no,yes
470,5,2,No,No,5,Wisconsin,yes,3,no,yes
471,5,5,No,Yes,5,New York,yes,3,no,yes
472,5,2,Yes,Yes,NA,Alabama,yes,4,no,yes
473,3,3,Yes,No,5,New York,yes,3,yes,yes
